number,name,addressStreet,addressParcel
4028,행운 마트,인천 중구 운중로 39,인천 중구 운남동 507-14번지
4029,서흥로또방,인천 동구 화도진로 84,인천 동구 화평동 350-8번지
4030,마이복권,인천 서구 탁옥로 76,인천 서구 심곡동 302번지
4031,알파슈퍼,인천 계양구 안남로 467,인천 계양구 효성동 331-6번지
4032,드림월드복권,인천 남동구 만수로27번길 3,인천 남동구 만수2동 869-8번지
4033,한솔복권&마트,인천 미추홀구 경인로 384,인천 미추홀구 주안동 434-1
4034,복슈퍼,인천 계양구 계산로108번길 4,인천 계양구 계산동 988-56번지
4035,천하명당복권방,인천 계양구 안남로 466,인천 계양구 효성동 305-8번지
4036,찬스복권방,인천 부평구 육동로 20-1,인천 부평구 부평동 645-46번지
4037,행운복권편의점,인천 남동구 구월남로 296,인천 남동구 구월동 1302-2번지
4038,즐거운복권방,인천 미추홀구 미추홀대로 541,인천 미추홀구 주안동 1311-35
4039,행운복권,인천 부평구 열우물로 73,인천 부평구 십정동 297-3
4040,복권나라(가좌사),인천 서구 원적로 73,인천 서구 가좌3동 129-55번지
4041,복권나라,인천 서구 거북로 80,인천 서구 석남동 586-2번지
4042,왕대박,인천 미추홀구 경인로116번길 4,인천 미추홀구 숭의동 60-34
4043,복권나라,인천 중구 제물량로 84-3,인천 중구 신흥동2가 16-37번지
4044,복권천국,인천 미추홀구 독정이로 71,인천 미추홀구 숭의동 203-29
4045,복권천국,인천 부평구 평천로 306,인천 부평구 갈산동 172번지
4046,복권전문점,인천 부평구 원적로 437,인천 부평구 청천동 236-20번지
4047,운수대통,인천 남동구 석정로 479,인천 남동구 간석동 616-54번지
4048,노다지복권방,인천 미추홀구 한나루로 400 학익시장,인천 미추홀구 학익동 264-6
4049,대박복권,인천 부평구 경인로 973,인천 부평구 부평동 610-4번지
4050,복권왕국,인천 부평구 동수로 168,인천 부평구 부개동 259-16번지
4051,로또명당,인천 부평구 부평대로 32,인천 부평구 부평동 212-70
4052,아킬복권,인천 부평구 부영로 4,인천 부평구 부평동 754-124
4053,장미유통,인천 계양구 아나지로 394,인천 계양구 작전동 707-12번지
4054,동그라미슈퍼,인천 미추홀구 한나루로 586,인천 미추홀구 도화동 462-7
4055,충남상회,인천 미추홀구 샛골로 74,인천 미추홀구 숭의동 106-21
4056,에이스복권,인천 계양구 경명대로 1135,인천 계양구 계산동 917-11번지
4057,LG슈퍼,인천 연수구 함박안로156번길 7-21,인천 연수구 연수동 517-9번지
4058,장군슈퍼,인천 연수구 청량로 104,인천 연수구 옥련동 580-9번지
4059,인천상회,인천 중구 차이나타운로 42,인천 중구 북성동2가 9-7번지
4060,인성미니슈퍼,인천 부평구 세월천로 46,인천 부평구 청천동 179-16
4061,씨유 송도점,인천 연수구 인권로 9,인천 연수구 옥련동 540-4
4062,풍인식품,인천 남동구 남동대로934번길 13,인천 남동구 간석동 214-27
4063,제일슈퍼,인천 연수구 앵고개로 242,인천 연수구 동춘동 937번지
4064,수석슈퍼,인천 계양구 경명대로 1018,인천 계양구 계산동 939-1번지
4065,구월슈퍼,인천 남동구 문화로145번길 13,인천 남동구 구월동 1110-1
4066,가정슈퍼,인천 미추홀구 숙골로43번길 158-19,인천 미추홀구 도화동 81-5
4067,24시슈퍼,인천 부평구 열우물로 111-1,인천 부평구 십정동 279-7번지
4068,복권광장,인천 부평구 백범로 486,인천 부평구 십정동 442-8번지
4069,행운마트,인천 부평구 배곶남로9번길 4,인천 부평구 십정동 355-18번지
4070,프리마트,인천 남동구 주안로 231,인천 남동구 간석4동 395-2번지
4071,대박마트,인천 남동구 호구포로 219,인천 남동구 논현동 647-2번지
4072,신흥엑스포쇼핑,인천 서구 가석로156번길 20,인천 서구 가좌동 192-86
4073,대박슈퍼,인천 부평구 경원대로 1438,인천 부평구 부평동 179-14번지
4074,태화복권,인천 부평구 부평북로 313 태화아파트,인천 부평구 갈산동 416
4075,LG슈퍼,인천 남동구 담방로47번길 4,인천 남동구 만수6동 1023-9번지
4076,현대하이퍼,인천 중구 제물량로 131,인천 중구 답동 37-15번지
4077,나랑유통,인천 서구 가정로380번길 32 경성장여관,인천 서구 가정동 510-17
4078,L마트,인천 서구 승학로 528 아카데미프라자,인천 서구 검암동 524-3
4079,복권명가,인천 남동구 장승로 13,인천 남동구 만수동 1076-8
4080,경기상회,인천 남동구 장승남로 42 은빛프라자,인천 남동구 만수동 1041-3
4081,하나복권,인천 남동구 구월로 281,인천 남동구 만수5동 906-2번지
4082,부안슈퍼,인천 중구 제물량로241번길 4,인천 중구 항동1가 2-27번지
4083,원제슈퍼마켓,인천 부평구 마장로 458-1,인천 부평구 청천동 10-1번지
4084,동수슈퍼문구복권,인천 부평구 동수로 101,인천 부평구 부평동 624-19번지
4085,주경슈퍼,인천 부평구 경인로 1063,인천 부평구 부개동 301-31번지
4086,욱일슈퍼,인천 부평구 경인로 1144,인천 부평구 일신동 110-5번지
4087,드림복권방,인천 중구 인중로 97-1 삼익아파트,인천 중구 신흥동2가 54-7
4088,미니스톱인천효성점,인천 계양구 안남로 551,인천 계양구 효성동 63-2번지
4089,라이프슈퍼,인천 계양구 오조산로89번길 9,인천 계양구 용종동 210-1번지
4090,월미도매표소,인천 중구 월미로 217 가로판매대10,인천 중구 북성동1가 98-35
4091,신포시장매표소,인천 중구 우현로 41-1,인천 중구 신포동 15-3번지
4092,매표소,인천 중구 제물량로 165,인천 중구 사동 18-45번지
4093,한마음병원앞버스매표소,인천 계양구 계양대로 53,인천 계양구 작전동 865-34번지
4094,경영매표소,인천 부평구 경원대로 1373,인천 부평구 부평동 546-62번지
4095,노타리매표소,인천 부평구 경원대로 1383,인천 부평구 부평동 549-43번지
